fold,auc,f1,precision,recall
1,,0.0,0.0,0.0
2,,0.0,0.0,0.0
3,,0.0,0.0,0.0
4,,0.0,0.0,0.0
5,,0.0,0.0,0.0
6,,0.0,0.0,0.0
7,,0.0,0.0,0.0
8,,0.0,0.0,0.0
9,,0.0,0.0,0.0
10,,0.9523809523809523,1.0,0.9090909090909091
11,,0.8620689655172413,1.0,0.7575757575757576
12,,0.9523809523809523,1.0,0.9090909090909091
13,,0.9333333333333333,1.0,0.875
14,,1.0,1.0,1.0
15,,0.0,0.0,0.0
16,,0.0,0.0,0.0
17,,0.0,0.0,0.0
18,,0.0,0.0,0.0
19,,0.8372093023255814,1.0,0.72
20,,0.0,0.0,0.0
21,,0.9411764705882353,1.0,0.8888888888888888
22,,0.0,0.0,0.0
23,,0.875,1.0,0.7777777777777778
24,,1.0,1.0,1.0
25,,0.0,0.0,0.0
26,,1.0,1.0,1.0
27,,0.9655172413793104,1.0,0.9333333333333333
28,,0.8,1.0,0.6666666666666666
29,,0.9629629629629629,1.0,0.9285714285714286
30,,1.0,1.0,1.0
31,,0.88,1.0,0.7857142857142857
32,,0.9230769230769231,1.0,0.8571428571428571
33,,1.0,1.0,1.0
34,,0.9629629629629629,1.0,0.9285714285714286
35,,0.0,0.0,0.0
36,,0.8571428571428571,1.0,0.75
37,,1.0,1.0,1.0
38,,0.9523809523809523,1.0,0.9090909090909091
39,,0.625,1.0,0.45454545454545453
40,,0.8421052631578947,1.0,0.7272727272727273
41,,0.7058823529411765,1.0,0.5454545454545454
42,,0.0,0.0,0.0
43,,1.0,1.0,1.0
44,,0.8888888888888888,1.0,0.8
45,,1.0,1.0,1.0
46,,1.0,1.0,1.0
47,,1.0,1.0,1.0
48,,0.2,1.0,0.1111111111111111
49,,0.0,0.0,0.0
50,,0.0,0.0,0.0
